Ticker,Short Name,Full Corporate Name
NVDA,Nvidia,NVIDIA Corporation
MSFT,Microsoft,Microsoft Corporation
AAPL,Apple,Apple Inc.
AMZN,Amazon,Amazon.com Inc.
META,Meta,Meta Platforms, Inc.
AVGO,Broadcom,Broadcom Inc.
TSLA,Tesla,Tesla Inc.
BRK.A,Berkshire Hathaway,Berkshire Hathaway Inc.
JPM,JPMorgan Chase,JPMorgan Chase & Co.
ORCL,Oracle,Oracle Corporation
WMT,Walmart,Walmart Inc.
LLY,Eli Lilly,Eli Lilly and Company
V,Visa,Visa Inc.
XOM,Exxon Mobil,Exxon Mobil Corporation
COST,Costco,Costco Wholesale Corporation
JNJ,Johnson & Johnson,Johnson & Johnson
HD,Home Depot,The Home Depot Inc.
BAC,Bank of America,Bank of America Corporation
UNH,UnitedHealth,UnitedHealth Group Incorporated
KO,Coca-Cola,The Coca-Cola Company
PG,Procter & Gamble,The Procter & Gamble Company
ABBV,AbbVie,AbbVie Inc.
CRM,Salesforce,Salesforce Inc.
CSCO,Cisco Systems,Cisco Systems Inc.
GE,General Electric,General Electric Company
